institution,urls,articletype,retractiondate,retractiondoi,originalpaperdate,originalpaperdoi,retractionnature,reason,notes,rorids,rornames,rorcountries,rorregions,container,publisher,prefix,funder
"['Institute of Space and Earth Information Science, The Chinese University of Hong Kong, China'
 'Key Laboratory of Geographical Information Science, Ministry of Education, East China Normal University, Shanghai, China']",['http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/'],['Conference Abstract/Paper'],6/17/2010 0:00,10.1109/ICCET.2010.5485454,4/16/2010 0:00,10.1109/ICCET.2010.5485454,Retraction,['+Notice - Limited or No Information'],None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
['Affiliation unknown'],['https://retractionwatch.com/2022/07/26/crystallography-database-flags-nearly-1000-structures-linked-to-a-paper-mill/'],['Research Article'],7/10/2023 0:00,10.1080/24701556.2023.2227926,5/13/2020 0:00,10.1080/24701556.2020.1762216,Retraction,"['+Concerns/Issues About Data' '+Investigation by Journal/Publisher'
 '+Investigation by Third Party' '+Paper Mill'
 '+Unreliable Results and/or Conclusions']",See also: https://pubpeer.com/publications/2092D10CD7E413EE36774F471B01C6,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Math Department, NUDT, Changsha, China']",['http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/'],['Conference Abstract/Paper'],9/7/2010 0:00,10.1109/ICCSIT.2010.5564023,7/9/2010 0:00,10.1109/ICCSIT.2010.5564023,Retraction,"['+Breach of Policy by Author' '+Investigation by Journal/Publisher'
 '+Notice - Limited or No Information']",None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Department of Computer Science and Engineering, College of Engineering Studies, University of Petroleum and Energy Studies, Dehradun, India']",[],['Research Article'],5/29/2019 0:00,10.1080/0361526X.2019.1617565,4/23/2019 0:00,10.1080/0361526X.2019.1595808,Retraction,['+Duplication of/in Article'],None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Pingdingshan University, Pingdingshan 467000, Henan, China']","['https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/'
 'https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/'
 'https://retractionwatch.com/2023/12/19/hindawi-reveals-process-for-retracting-more-than-8000-paper-mill-articles/']",['Research Article'],8/16/2023 0:00,10.1155/2023/9793247,9/16/2022 0:00,10.1155/2022/6976649,Retraction,"['+Concerns/Issues About Data'
 '+Concerns/Issues about Results and/or Conclusions'
 '+Concerns/Issues about Referencing/Attributions'
 '+Concerns/Issues with Peer Review'
 '+Informed/Patient Consent - None/Withdrawn'
 '+Investigation by Journal/Publisher' '+Investigation by Third Party'
 '+Lack of IRB/IACUC Approval and/or Compliance' '+Paper Mill'
 '+Computer-Aided Content or Computer-Generated Content'
 '+Unreliable Results and/or Conclusions']",See also: https://pubpeer.com/publications/9CB8C783E56DFF27B2F5054A584005,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Centre for Drug Discovery and Development, Sathyabama Institute of Science and Technology, Chennai, Tamil Nadu, India'
 'Department of Biotechnology, School of Bio and Chemical Engineering, Sathyabama Institute of Science and Technology, Chennai, Tamil Nadu, India'
 'Department of Mechanical and Process Engineering, Offenburg University of Applied Sciences, Offenburg 77652, Germany'
 'Department of Zoology, Government Art’s College (A), Karur, Tamil Nadu, India'
 'Department of Zoology, Annamalai University, Chidambaram, Tamil Nadu 608002, India'
 'Department of Zoology, Arignar Anna Government Arts College, Cheyyar, Tamil Nadu, India'
 'Department of Biology, School of Natural Science, Madawalabu University, Oromiya Region, Ethiopia'
 'Loma Linda Veteran Affairs, Loma Linda University, Loma Linda, California 92350, USA']","['https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/'
 'https://retractionwatch.com/2023/12/19/hindawi-reveals-process-for-retracting-more-than-8000-paper-mill-articles/'
 'https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/']",['Research Article'],12/29/2023 0:00,10.1155/2023/9805956,1/28/2022 0:00,10.1155/2022/7532086,Retraction,"['+Fake Peer Review' '+Investigation by Journal/Publisher'
 '+Investigation by Third Party' '+Paper Mill'
 '+Unreliable Results and/or Conclusions']",None,['https://ror.org/04qbta562' 'https://ror.org/04bj28v14'],[None],['United States' 'India'],['Tamil Nadu' 'California'],<NA>,<NA>,<NA>,<NA>
"['Department of Civil Engineering, Shahid Rajaee Teacher Training University, Tehran'
 ""Department of Chemistry, Queen's University, Kingston, Ontario""]",['http://retractionwatch.com/2016/12/26/lesson-not-learned-researchers-copied-masters-thesis-twice/'],['Research Article'],10/13/2016 0:00,10.1016/j.conbuildmat.2016.07.099,11/24/2011 0:00,10.1016/j.conbuildmat.2011.08.090,Retraction,"['+False/Forged Authorship' '+Lack of Approval from Author'
 '+Plagiarism of Text']",None,['https://ror.org/02nkz4493'],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Huazhong University of Science and Technology, Wuhan, China, 430074'
 'Hebei University of Engineering, Handan, China, 056021'
 'Hunan International Economics University, Changsha, China, 410205']",['http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/'],['Conference Abstract/Paper'],10/25/2010 0:00,10.1109/ICIFE.2010.5609414,9/17/2010 0:00,10.1109/ICIFE.2010.5609414,Retraction,"['+Breach of Policy by Author' '+Investigation by Journal/Publisher'
 '+Notice - Limited or No Information']",None,['https://ror.org/00p991c53'],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Department of Road & Bridge Engineering, Hubei Communications Technical College, Wuhan, China']",['http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/'],['Conference Abstract/Paper'],8/15/2011 0:00,10.1109/ICPIM.2011.5983621,7/16/2011 0:00,10.1109/ICPIM.2011.5983621,Retraction,"['+Breach of Policy by Author' '+Date of Article and/or Notice Unknown'
 '+Notice - Limited or No Information']","Date of retraction unknown, estimated from conference date.",[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Key Laboratory of Environmental Protection in Water Transport Engineering Ministry of Communications, Tianjin Research Institute of Water Transport Engineering, Tianjin, China']",['http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/'],['Conference Abstract/Paper'],5/31/2011 0:00,10.1109/icbbe.2011.5781082,5/10/2011 0:00,10.1109/icbbe.2011.5781082,Retraction,"['+Breach of Policy by Author' '+Date of Article and/or Notice Unknown'
 '+Notice - Limited or No Information']",None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Department of Mechanical and Energy Engineering, Qiliping Campus of Shaoyang University, Shaoyang, Hunan, Postcard: 422004, P.R. China']",['http://retractionwatch.com/2016/06/23/engineering-paper-pulled-for-peer-review-problems-authors-object/'],['Research Article'],5/11/2016 0:00,10.2174/1874155X01610010093,2/27/2015 0:00,10.2174/1874155X01509010130,Retraction,"['+Fake Peer Review' '+Investigation by Journal/Publisher'
 '+Legal Reasons and/or Threats' '+Objections by Author(s)']",None,['https://ror.org/03fx09x73'],[None],['China'],['Hunan'],<NA>,<NA>,<NA>,<NA>
"['Acharya Nagarjuna University, Guntur, AP, India'
 'ECE, V. R. Siddhartha Engineering College, Vijayawada, AP, India'
 'Vijaya Institute of Technology for Women, Vijayawada, AP, India']",['https://retractionwatch.com/2024/01/26/springer-nature-journal-pulls-nearly-three-dozen-papers-from-special-issues/'],['Research Article'],12/8/2022 0:00,10.1007/s13204-021-01906-4,6/18/2021 0:00,10.1007/s13204-021-01906-4,Retraction,"['+Concerns/Issues about Referencing/Attributions'
 '+Concerns/Issues with Peer Review' '+Investigation by Journal/Publisher'
 '+Rogue Editor' '+Unreliable Results and/or Conclusions']",None,['https://ror.org/042jtbg10' 'https://ror.org/058pt1w78'],[None],['India'],['Telangana'],<NA>,<NA>,<NA>,<NA>
"['School of Automotive and Traffic Engineering, Nanjing Forestry University, Nanjing 210037, China'
 'College of Chemistry and Chemical Engineering, Shanghai University of Engineering Science,Shanghai 201620,China']",[],['Research Article'],8/13/2017 0:00,10.20964/2017.09.400,2/12/2017 0:00,10.20964/2017.03.52,Retraction,['+Plagiarism of Article' '+Removed'],None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['College of Mining, Liaoning Technical University, Fuxin 123000, China']","['https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/'
 'https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/'
 'https://retractionwatch.com/2023/12/19/hindawi-reveals-process-for-retracting-more-than-8000-paper-mill-articles/']",['Research Article'],12/13/2023 0:00,10.1155/2023/9851978,9/19/2022 0:00,10.1155/2022/2886565,Retraction,"['+Fake Peer Review' '+Investigation by Journal/Publisher'
 '+Investigation by Third Party' '+Paper Mill'
 '+Unreliable Results and/or Conclusions']",None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Department of Industrial Engineering, Amirkabir University of Technology, Hafez Avenue, Tehran, P.O.Box, 15875-4413, Iran']",[],['Research Article'],1/1/2013 0:00,10.1142/S0219622013930012,5/1/2010 0:00,10.1142/S0219622010003877,Retraction,['+Duplication of/in Article'],None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Department of Human Resource Development, Hsiuping Institute of Technology, Dali City, Taichung County'
 'Department of International Business Management, Hsiuping Institute of Technology, Dali City, Taichung County'
 'Department of General Education, Lingtang University, Taichung'
 'Department of Industrial Education and Technology, National Changhua University of Education, Changhua County']",['http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/'],['Conference Abstract/Paper'],8/23/2010 0:00,10.1109/ICAMS.2010.5553200,7/9/2010 0:00,10.1109/ICAMS.2010.5553200,Retraction,['+Notice - Limited or No Information'],None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Department of Neurology, The First Affiliated Hospital of Hainan Medical University, Haikou, Hainan 570102, China'
 'Department of Anesthesiology, The First Affiliated Hospital of Hainan Medical University, Haikou, Hainan 570102, China']","['https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/'
 'https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/'
 'https://retractionwatch.com/2023/12/19/hindawi-reveals-process-for-retracting-more-than-8000-paper-mill-articles/']",['Research Article'],10/4/2023 0:00,10.1155/2023/9761860,11/14/2022 0:00,10.1155/2022/6403645,Retraction,"['+Concerns/Issues About Data'
 '+Concerns/Issues about Results and/or Conclusions'
 '+Concerns/Issues about Referencing/Attributions'
 '+Concerns/Issues with Peer Review'
 '+Informed/Patient Consent - None/Withdrawn'
 '+Investigation by Journal/Publisher' '+Investigation by Third Party'
 '+Lack of IRB/IACUC Approval and/or Compliance' '+Paper Mill'
 '+Computer-Aided Content or Computer-Generated Content'
 '+Unreliable Results and/or Conclusions']",See also: https://pubpeer.com/publications/970793C39234DDCFB7921AF3B86997,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['College of environmental science and engineering, Taiyuan university of technology, Taiyuan, China'
 'Shanxi hydrology and water resources survey bureau, Taiyuan, China']",['http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/'],['Conference Abstract/Paper'],5/31/2011 0:00,10.1109/icbbe.2011.5780940,5/10/2011 0:00,10.1109/icbbe.2011.5780940,Retraction,"['+Breach of Policy by Author' '+Date of Article and/or Notice Unknown'
 '+Notice - Limited or No Information']",None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Tangshan Medical Insurance Management Center, No.60 Jianshe South Street, 063000, Hebei Province, China'
 'Hebei Polytechnic University, NO.46 Xinhua West Street, Tangshan 063009, China']",['http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/'],['Conference Abstract/Paper'],11/4/2010 0:00,10.1109/ICCASM.2010.5622992,10/22/2010 0:00,10.1109/ICCASM.2010.5622992,Retraction,"['+Investigation by Journal/Publisher'
 '+Notice - Limited or No Information']",None,['https://ror.org/0000yrh61'],[None],['China'],['Hebei'],<NA>,<NA>,<NA>,<NA>
"['Spectroscopy Division, Bhabha Atomic Research Centre, Trombay, Mumbai 400 085, India']",['http://retractionwatch.com/2017/04/18/prominent-physicist-loses-four-papers-duplication/'],['Research Article'],1/30/2007 0:00,10.1016/j.apsusc.2006.07.048,8/22/2006 0:00,10.1016/j.apsusc.2006.07.048,Retraction,"['+Breach of Policy by Author' '+Duplication of/in Image'
 '+Duplication of Text']",None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['School of Pharmacy, Suruchi Singh, Glocal University, Delhi-Yamunotri marg, Saharanpur, India'
 'School of Pharmacy, Pankaj Bhatt, Glocal University, Delhi-Yamunotri marg, Saharanpur, India'
 'School of Pharmacy, Satish Kumar Sharma, Glocal University, Delhi-Yamunotri marg, Saharanpur, India'
 'School of Pharmacy, Tejinder Kaur, Glocal University, Delhi-Yamunotri marg, Saharanpur, India']",['http://retractionwatch.com/retracted-coronavirus-covid-19-papers/'],['Research Article'],8/20/2021 0:00,10.2174/1573399817666210601161128,8/20/2021 0:00,10.2174/1573399817666210601161128,Retraction,"['+Concerns/Issues About Data'
 '+Concerns/Issues about Results and/or Conclusions'
 '+Date of Article and/or Notice Unknown']","date of retraction unknown, html page overwrite;",[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Beijing Key Laboratory of Materials Utilization of Nonmetallic Minerals and Solid Wastes, National Laboratory of Mineral Materials, School of Materials Science and Technology, China University of Geosciences, Beijing, 100083, China'
 'College of Materials & Environmental Engineering, Hangzhou Dianzi University, Hangzhou, 310036, China']",[],['Research Article'],5/31/2024 0:00,10.1016/j.surfin.2024.104550,2/21/2024 0:00,10.1016/j.surfin.2024.104081,Retraction,"['+Duplication of/in Article' '+Investigation by Journal/Publisher'
 '+Investigation by Third Party'
 '+Computer-Aided Content or Computer-Generated Content']","date of retraction unknnown, html page overwrite,date estimated from notifications; see also: https://pubpeer.com/publications/CAABBF887348FB2D1C0329E0A27BE6",[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Department of Ophthalmology, Shenzhen People’s Hospital, Shenzhen 518000, China'
 'Department of Ophthalmology, The Seventh Affiliated Hospital of Sun Yat-sen University, Shenzhen 518000, China']","['https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/'
 'https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/'
 'https://retractionwatch.com/2023/12/19/hindawi-reveals-process-for-retracting-more-than-8000-paper-mill-articles/']",['Clinical Study'],11/1/2023 0:00,10.1155/2023/9768137,3/9/2022 0:00,10.1155/2022/8437066,Retraction,"['+Concerns/Issues About Data'
 '+Concerns/Issues about Results and/or Conclusions'
 '+Concerns/Issues about Referencing/Attributions'
 '+Concerns/Issues with Peer Review' '+Investigation by Journal/Publisher'
 '+Investigation by Third Party' '+Paper Mill'
 '+Computer-Aided Content or Computer-Generated Content'
 '+Unreliable Results and/or Conclusions']",None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
['Unknown'],[],['Book Chapter/Reference Work'],1/1/2007 0:00,10.1515/9783110937381.5,1/1/2007 0:00,10.1515/9783110937381.5,Retraction,['+Copyright Claims' '+Date of Article and/or Notice Unknown' '+Removed'],None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Gannan University of Science and Technology, Ganzhou, China']",[],['Research Article'],10/26/2023 0:00,10.1371/journal.pone.0293792,5/18/2021 0:00,10.1371/journal.pone.0251483,Retraction,"['+Author Unresponsive' '+Concerns/Issues with Peer Review'
 '+Investigation by Journal/Publisher'
 '+Unreliable Results and/or Conclusions']",None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Tianjin Medical University, Tianjin, China'
 'Department of Cardiology, Cangzhou Central Hospital of Tianjin Medical University, Tianjin, China']","['https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/'
 'https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/']",['Research Article'],6/21/2023 0:00,10.1155/2023/9843606,10/4/2021 0:00,10.1155/2021/5716410,Retraction,"['+Concerns/Issues About Data'
 '+Concerns/Issues about Human Subject Welfare'
 '+Concerns/Issues about Referencing/Attributions'
 '+Concerns/Issues with Peer Review' '+Investigation by Journal/Publisher'
 '+Investigation by Third Party'
 '+Lack of IRB/IACUC Approval and/or Compliance'
 '+Unreliable Results and/or Conclusions']",See also: https://pubpeer.com/publications/7FB625CDB05C62FCD023E0BB0F8E3B,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Synthetic Chemistry & Petrochemical Area, Chemical & Material Sciences Division, CSIR-Indian Institute of Petroleum, Dehradun, India'
 'Academy of Scientific and Innovative Research, Ghaziabad, India'
 'Analytical Sciences Division, CSIR-Indian Institute of Petroleum, Dehradun, India'
 'Nanocatalysis Area, Light Stock Processing Division, CSIR-Indian Institute of Petroleum, Dehradun, India']",[],['Research Article'],1/17/2025 0:00,10.1039/D4SE90097A,5/11/2022 0:00,10.1039/D2SE00378C,Retraction,"['+Concerns/Issues About Data' '+Investigation by Journal/Publisher'
 '+Original Data and/or Images not Provided and/or not Available']",None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Department of Thoracic Surgery, Shaanxi Provincial People’s Hospital, Xi’an, Shaanxi'
 'Department of General Medicine, Central Hospital of Three Gorges, Chongqing, Chongqing'
 'Internal medicine, Zaozhuang Maternal and Child Care Hospital, Zaozhuang, Shandong'
 'Department of Cardiothoracic Surgery, Air Force Hospital in Western War Zon, Chengdu, Sichuan'
 'Respiratory Medicine Affiliated Hospital of Jilin Medical University, Jilin, Jilin'
 'Department of Respiratory Medicine, Second Affiliated Hospital of Dalian Medical University Dalian, Liaoning, China']",[],['Research Article'],5/1/2021 0:00,10.1097/CEJ.0000000000000665,1/1/2021 0:00,10.1097/CEJ.0000000000000595,Retraction,['+Plagiarism of Article'],None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Department of Paedodontics and Preventive Dentistry, Sharad Pawar Dental College and Hospital, Datta Meghe Institute of Medical Sciences, Sawangi, India']",[],['Review Article'],4/27/2020 0:00,10.17245/jdapm.2020.20.2.105,2/28/2020 0:00,10.17245/jdapm.2020.20.1.1,Retraction,['+Plagiarism of Article'],None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Department of Economics, University of Oregon, Eugene, OR, 97403, USA'
 'Department of Logistics and Maritime Studies, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong']",['http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/'],['Conference Abstract/Paper'],6/16/2011 0:00,10.1109/ICEBEG.2011.5882144,5/6/2011 0:00,10.1109/ICEBEG.2011.5882144,Retraction,"['+Breach of Policy by Author' '+Date of Article and/or Notice Unknown'
 '+Notice - Limited or No Information']","Date of retraction unknown, estimated from conference date.",[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['School of Finance and Economics, Guangzhou Huashang Vocational College, Guangzhou, Guangdong 511300, China'
 'School of Business Administration, Guangzhou Huashang Vocational College, Guangzhou, Guangdong 511300, China']","['https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/'
 'https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/'
 'https://retractionwatch.com/2023/12/19/hindawi-reveals-process-for-retracting-more-than-8000-paper-mill-articles/']",['Research Article'],8/2/2023 0:00,10.1155/2023/9818567,5/25/2022 0:00,10.1155/2022/9586926,Retraction,"['+Concerns/Issues About Data'
 '+Concerns/Issues about Results and/or Conclusions'
 '+Concerns/Issues about Referencing/Attributions'
 '+Concerns/Issues with Peer Review' '+Investigation by Journal/Publisher'
 '+Investigation by Third Party' '+Paper Mill'
 '+Computer-Aided Content or Computer-Generated Content'
 '+Unreliable Results and/or Conclusions']",None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Department of College English, Kaifeng University, China']",['http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/'],['Conference Abstract/Paper'],7/12/2010 0:00,10.1109/OPEE.2010.5508001,5/10/2010 0:00,10.1109/OPEE.2010.5508001,Retraction,['+Notice - Limited or No Information'],None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Universitas Airlangga. Jl. Airlangga, No. 4, Surabaya, East Java, Indonesia']",[],['Research Article'],5/22/2018 0:00,unavailable,1/1/2018 0:00,10.15408/aiq.v10i1.5903,Retraction,['+Duplication of/in Article'],None,['https://ror.org/04ctejd88'],[None],['Indonesia'],['East Java'],<NA>,<NA>,<NA>,<NA>
"['Department of Orthodontics, Tabriz Branch, Islamic Azad University, College of Dentistry, Tabriz, Iran'
 'Department of Pediatric Dentistry, Tabriz University of Medical Sciences, School of Dentistry, Tabriz, East Azerbaijan, Iran']",[],['Clinical Study'],11/1/2021 0:00,10.5005/jp-journals-10005-2177,7/1/2020 0:00,10.5005/jp-journals-10005-1801,Retraction,"['+False/Forged Authorship' '+Investigation by Company/Institution'
 '+Lack of Approval from Author']",None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['The Dermatology Centre, The University of Manchester, Salford Royal NHS Foundation Trust, Manchester, UK'
 'Department of Behavioural Medicine, Salford Royal NHS Foundation Trust, Manchester, UK'
 'Royal Blackburn Hospital, Blackburn, UK']",['http://retractionwatch.com/2010/09/20/progressive-how-the-cochrane-library-handles-updates-in-progress/'],['Review Article'],4/9/2019 0:00,10.1002/14651858.CD001213.pub2,4/24/2000 0:00,10.1002/14651858.CD001213,Retraction,['+Withdrawn as Out of Date'],None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Department of Economics, University of Haripur, Haripur, Pakistan Islamia University of Bahawalpur, Pakistan Department of Management Sciences, COMSATS Institute of Information Technology, Abbottabad, Pakistan Humanities Department, COMSATS Institute of Information Technology, Abbottabad, Pakistan']",['http://retractionwatch.com/2014/12/19/elsevier-retracting-16-papers-faked-peer-review/'],['Review Article'],5/1/2015 0:00,10.1016/j.rser.2015.03.016,9/1/2013 0:00,10.1016/j.rser.2013.04.002,Retraction,"['+Ethical Violations by Author' '+Fake Peer Review'
 '+Investigation by Journal/Publisher'
 '+Misconduct - Official Investigation(s) and/or Finding(s)'
 '+Misconduct by Author']",K Zaman named responsible for fraudulent peer review;,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Department of Oncology, Shengjing Hospital of China Medical University, Shenyang Liaoning 110004, China'
 'Department of Pathology, Shengjing Hospital of China Medical University, Shenyang Liaoning 110004, China']",[],['Research Article'],5/4/2022 0:00,10.1016/j.omtn.2022.04.023,6/24/2021 0:00,10.1016/j.omtn.2021.06.005,Retraction,['+Duplication of/in Image' '+Error in Data'],None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['European Union Law at the Fletcher School—Tufts University, Full Professor of International and European Criminal and Procedural Law at the De Haagse Hogenschool—The Hague, USA']","['http://retractionwatch.com/2020/12/14/legal-researcher-up-to-23-retractions-for-false-affiliations-plagiarism/'
 'http://retractionwatch.com/2020/07/14/itinerant-legal-scholar-who-claimed-tufts-affiliation-up-to-10-retractions/']",['Research Article'],4/6/2020 0:00,10.1163/23525207-12340037A,3/15/2019 0:00,10.1163/23525207-12340037,Retraction,"['+Concerns/Issues About Authorship/Affiliation'
 '+False/Forged Affiliation' '+Plagiarism of Article']",None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Division of Cardiology, Department of Internal Medicine, St. Louis University Health Sciences Center, St. Louis, USA'
 ""GRECC Service, Veterans' Administration Medical Center, St. Louis, USA""]",[],['Research Article'],8/2/2000 0:00,10.1023/A:1017369230536,3/1/1998 0:00,10.1023/A:1006899208831,Retraction,['+Notice - Limited or No Information'],None,['https://ror.org/014c68a74'],[None],['United States'],['Missouri'],<NA>,<NA>,<NA>,<NA>
"['School of Information Engineering, Xi’an University of Arts and Science, Xi’an 710065, China']","['https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/'
 'https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/'
 'https://retractionwatch.com/2023/12/19/hindawi-reveals-process-for-retracting-more-than-8000-paper-mill-articles/']",['Research Article'],8/30/2023 0:00,10.1155/2023/9794341,4/7/2022 0:00,10.1155/2022/6368018,Retraction,"['+Concerns/Issues About Data'
 '+Concerns/Issues about Results and/or Conclusions'
 '+Concerns/Issues about Referencing/Attributions'
 '+Concerns/Issues with Peer Review' '+Investigation by Journal/Publisher'
 '+Investigation by Third Party' '+Paper Mill'
 '+Computer-Aided Content or Computer-Generated Content'
 '+Unreliable Results and/or Conclusions']",See also: https://pubpeer.com/publications/CD6922D79FF93D7D3ED6CC315A311D,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Naval Architecture and Ocean Engineering College, Dalian Maritime University, Dalian 116026, China']","['https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/'
 'https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/'
 'https://retractionwatch.com/2023/12/19/hindawi-reveals-process-for-retracting-more-than-8000-paper-mill-articles/']",['Research Article'],11/29/2023 0:00,10.1155/2023/9860928,5/20/2022 0:00,10.1155/2022/2358264,Retraction,"['+Fake Peer Review' '+Investigation by Journal/Publisher'
 '+Investigation by Third Party' '+Paper Mill'
 '+Unreliable Results and/or Conclusions']",None,[],[],[],[],<NA>,<NA>,<NA>,<NA>
"['Yiwu Fuyuan Hospital, Yiwu 322200, China'
 'Department of Obstetrics, Department Nursing, West China Second University Hospital, Sichuan University/West China School of Nursing, Sichuan University, Chengdu 610041, China'
 'PLA General Hospital Jingxi Medical District of the Same Level of Outpatient Department, Comprehensive Internal Medicine, Beijing 100144, China']","['https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/'
 'https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/'
 'https://retractionwatch.com/2023/12/19/hindawi-reveals-process-for-retracting-more-than-8000-paper-mill-articles/']",['Clinical Study'],7/19/2023 0:00,10.1155/2023/9820320,9/16/2022 0:00,10.1155/2022/3472722,Retraction,"['+Concerns/Issues About Data'
 '+Concerns/Issues about Results and/or Conclusions'
 '+Concerns/Issues about Referencing/Attributions'
 '+Concerns/Issues with Peer Review' '+Investigation by Journal/Publisher'
 '+Investigation by Third Party' '+Paper Mill'
 '+Computer-Aided Content or Computer-Generated Content'
 '+Unreliable Results and/or Conclusions']",https://pubpeer.com/publications/07F548C830986ECDFE53BAC224E275,['https://ror.org/0259e4473'],[None],['China'],['Beijing'],<NA>,<NA>,<NA>,<NA>
